reps          firs         total         lexer        parser        typecheck        codegen        
 32          50635          85.4          6.2          11.2            41.6            26.3         
 64          100875        166.1          11.0         20.3            81.8            53.0         
 96          151115        256.2          16.0         30.5           130.4            79.4         
128          201355        344.5          21.2         41.2           177.8           104.1         
160          251595        438.0          26.4         50.1           224.7           136.7         
192          301835        541.5          33.7         65.4           268.3           174.1         
224          352075        609.2          36.2         71.9           314.0           187.2         
256          402315        695.0          42.6         80.5           364.7           207.2         
288          452555        804.4          49.9         96.1           418.3           240.1         
320          502795        885.0          54.2        103.2           453.5           274.2         
352          553035        1020.2         57.3        113.6           527.3           322.1         
384          603275        1164.1         63.5        131.8           585.6           383.2         
416          653515        1255.9         67.4        139.0           700.6           348.9         
448          703755        1299.9         74.1        143.9           693.2           388.7         
480          753995        1398.3         80.0        155.4           760.9           402.0         
512          804235        1518.6         90.5        169.4           838.7           420.1         
544          854475        1583.4         91.3        177.4           858.6           456.0         
576          904715        1679.4         93.2        186.1           922.4           477.6         
608          954955        1809.6        100.5        199.2           990.6           519.2         
640         1005195        1935.4        106.3        213.7           1064.7          550.8         
672         1055435        2097.9        113.2        215.6           1114.1          655.0         
704         1105675        2222.2        116.7        237.3           1178.6          689.5         
736         1155915        2300.4        126.0        235.8           1219.8          718.9         
768         1206155        2432.3        126.8        251.3           1306.0          748.3         
800         1256395        2543.1        133.8        266.9           1470.7          671.7         
832         1306635        2673.0        138.3        272.1           1558.2          704.4         
864         1356875        2746.6        143.4        276.5           1604.9          721.9         
896         1407115        2904.9        154.2        300.9           1690.8          759.0         
928         1457355        3047.4        154.7        301.4           1817.6          773.7         
960         1507595        3125.5        163.0        319.9           1828.7          813.9         
992         1557835        3251.2        167.8        321.7           1928.1          833.5         
1024        1608075        3377.0        170.3        337.8           1996.4          872.5         
